id,name,parent_id
182,ڈھاڈر تحصیل,48
183,بھاگ تحصیل,48
184,گنداخہ تحصیل,49
185,اوستہ محمد تحصیل,49
186,جھٹ پٹ تحصیل,50
187,غفورآبادتحصیل,51
188,سید محمد کنرانی تحصیل,52
189,پہنور تحصیل,52
190,حیر دین تحصیل,52
191,فرید آباد تحصیل,52
192,مانجھی پور تحصیل,52
193,صحبت پور تحصیل,52
194,لانڈھی تحصیل,51
195,چھتر تحصیل,51
196,باباکوٹ تحصیل,51
197,میر حسن تحصیل,51
198,ڈیرہ مراد جمالی تحصیل,51
199,تمبو تحصیل,51
200,سراوان تحصیل,53
201,المرگ تحصیل,53
202,پتکن تحصیل,53
203,سرخاران تحصیل,53
204,ٹو ملک تحصیل,53
205,خاران تحصیل,53
206,پھیلاغ تحصیل,54
207,پیرکوہ تحصیل,54
208,لوٹی تحصیل,54
209,سوئی تحصیل,54
210,ڈیرہ بگٹی تحصیل,54
211,لہڑی تحصیل,55
212,منڈائی تحصیل,55
213,سبی تحصیل,55
214,دشت تحصیل,56
215,کانک(دین گڑھ) تحصیل,56
216,سریاب ٹاؤن,56
217,زرغون ٹاؤن,56
218,کنٹونمنٹ بورڈ  ٹاؤن,56
219,چلتن ٹاؤن,56
220,دشت خدان تحصیل,57
221,ہوشاب تحصیل,57
222,بلیدہ تحصیل,57
223,تمپ تحصیل,57
224,تربت تحصیل,57
225,اوڑمارہ تحصیل,58
226,جیوانی تحصیل,58
227,گوادر تحصیل,58
228,وڈھ تحصیل,59
229,نال تحصیل,59
230,زہری تحصیل,59
231,خضدا ر تحصیل,59
232,کرخ تحصیل,59
233,گیشکور تحصیل,60
234,کورک تحصیل,60
235,جھاؤ تحصیل,60
236,مشکے تحصیل,60
237,آواران تحصیل,60
238,گزگ تحصیل,61
239,جوہان تحصیل,61
240,منگوچر تحصیل,61
241,قلات تحصیل,61
242,لیاری تحصیل,62
243,لاکھڑا تحصیل,62
244,کنراج تحصیل,62
245,دریجی تحصیل,63
246,گڈانی تحصیل,63
247,اوتھل تحصیل,62
248,بیلہ تحصیل,62
249,سونمیانی تحصیل,63
250,حب تحصیل,63
251,رحیم یار خان تحصیل,64
252,لیاقت پور تحصیل,64
253,چولستان تحصیل,64
254,خانپور تحصیل,64
255,صادق آباد تحصیل,64
256,فورٹ عباس تحصیل,65
257,ہارون آباد تحصیل,65
258,چشتیاں تحصیل,65
259,منچن آباد تحصیل,65
260,بہاولنگر تحصیل,65
261,خیر پور ٹامیوالی تحصیل,66
262,حاصل پور تحصیل,66
263,یزمان منڈی تحصیل,66
264,احمد پور شرقیہ تحصیل,66
265,بہاولپور صدر تحصیل,66
266,عباسیہ ٹاؤن,67
267,سیٹلائٹ ٹاؤن,67
268,ماڈل ٹاؤن,67
269,علی پور تحصیل,68
270,جتوئی تحصیل,68
271,مظفر گڑھ تحصیل,68
272,کوٹ ادو تحصیل,69
273,چوک سرور شہید تحصیل,69
274,جام پور تحصیل,70
275,روجھان تحصیل,70
276,راجن پور تحصیل,70
277,چوبارا تحصیل,71
278,کروڑ لعل عیسن تحصیل,71
279,لیہ تحصیل,71
280,کوہ سلیمان تحصیل,72
281,ڈی جی خان تحصیل,72
282,کوٹ چھٹہ تحصیل,72
283,تونسہ شریف تحصیل,72
284,نوشہرہ تحصیل,73
285,نورپور تھل تحصیل,73
286,قائد آباد تحصیل,73
287,خوشاب تحصیل,73
288,پپلاں تحصیل,74
